trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#NRLManlyStorm,http://twitter.com/search?q=%23NRLManlyStorm,%23NRLManlyStorm,,2021-08-07 12:16:10.089293,Australia
#Boomers,http://twitter.com/search?q=%23Boomers,%23Boomers,,2021-08-07 12:16:10.089293,Australia
#AFLCrowsPower,http://twitter.com/search?q=%23AFLCrowsPower,%23AFLCrowsPower,,2021-08-07 12:16:10.089293,Australia
#AFLSaintsSwans,http://twitter.com/search?q=%23AFLSaintsSwans,%23AFLSaintsSwans,,2021-08-07 12:16:10.089293,Australia
#NeerajChopra,http://twitter.com/search?q=%23NeerajChopra,%23NeerajChopra,109712.0,2021-08-07 12:16:10.089293,Australia
#NRLRoostersPanthers,http://twitter.com/search?q=%23NRLRoostersPanthers,%23NRLRoostersPanthers,,2021-08-07 12:16:10.089293,Australia
#weflyasone,http://twitter.com/search?q=%23weflyasone,%23weflyasone,,2021-08-07 12:16:10.089293,Australia
#afltigersnorth,http://twitter.com/search?q=%23afltigersnorth,%23afltigersnorth,,2021-08-07 12:16:10.089293,Australia
#bloods,http://twitter.com/search?q=%23bloods,%23bloods,,2021-08-07 12:16:10.089293,Australia
#FlicksNoChills,http://twitter.com/search?q=%23FlicksNoChills,%23FlicksNoChills,,2021-08-07 12:16:10.089293,Australia
#Showdown50,http://twitter.com/search?q=%23Showdown50,%23Showdown50,,2021-08-07 12:16:10.089293,Australia
#WOTAprom,http://twitter.com/search?q=%23WOTAprom,%23WOTAprom,,2021-08-07 12:16:10.089293,Australia
#NZLvAUS,http://twitter.com/search?q=%23NZLvAUS,%23NZLvAUS,,2021-08-07 12:16:10.089293,Australia
#BledisloeCup,http://twitter.com/search?q=%23BledisloeCup,%23BledisloeCup,,2021-08-07 12:16:10.089293,Australia
#CyclingTrack,http://twitter.com/search?q=%23CyclingTrack,%23CyclingTrack,37379.0,2021-08-07 12:16:10.089293,Australia
#gotiges,http://twitter.com/search?q=%23gotiges,%23gotiges,,2021-08-07 12:16:10.089293,Australia
#weareportadelaide,http://twitter.com/search?q=%23weareportadelaide,%23weareportadelaide,,2021-08-07 12:16:10.089293,Australia
#aflbluessuns,http://twitter.com/search?q=%23aflbluessuns,%23aflbluessuns,,2021-08-07 12:16:10.089293,Australia
