trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#NRLManlyStorm,http://twitter.com/search?q=%23NRLManlyStorm,%23NRLManlyStorm,,2021-08-07 12:16:10.089293,Australia
#Boomers,http://twitter.com/search?q=%23Boomers,%23Boomers,,2021-08-07 12:16:10.089293,Australia
#AFLCrowsPower,http://twitter.com/search?q=%23AFLCrowsPower,%23AFLCrowsPower,,2021-08-07 12:16:10.089293,Australia
Patty Mills,http://twitter.com/search?q=%22Patty+Mills%22,%22Patty+Mills%22,,2021-08-07 12:16:10.089293,Australia
#AFLSaintsSwans,http://twitter.com/search?q=%23AFLSaintsSwans,%23AFLSaintsSwans,,2021-08-07 12:16:10.089293,Australia
#NeerajChopra,http://twitter.com/search?q=%23NeerajChopra,%23NeerajChopra,109712.0,2021-08-07 12:16:10.089293,Australia
Luka,http://twitter.com/search?q=Luka,Luka,55638.0,2021-08-07 12:16:10.089293,Australia
Matisse,http://twitter.com/search?q=Matisse,Matisse,,2021-08-07 12:16:10.089293,Australia
Exum,http://twitter.com/search?q=Exum,Exum,,2021-08-07 12:16:10.089293,Australia
Selwood,http://twitter.com/search?q=Selwood,Selwood,,2021-08-07 12:16:10.089293,Australia
Madison,http://twitter.com/search?q=Madison,Madison,27728.0,2021-08-07 12:16:10.089293,Australia
Slovenia,http://twitter.com/search?q=Slovenia,Slovenia,,2021-08-07 12:16:10.089293,Australia
Saab,http://twitter.com/search?q=Saab,Saab,26476.0,2021-08-07 12:16:10.089293,Australia
Delly,http://twitter.com/search?q=Delly,Delly,,2021-08-07 12:16:10.089293,Australia
Lara,http://twitter.com/search?q=Lara,Lara,51833.0,2021-08-07 12:16:10.089293,Australia
Matt Burton,http://twitter.com/search?q=%22Matt+Burton%22,%22Matt+Burton%22,,2021-08-07 12:16:10.089293,Australia
Wallabies,http://twitter.com/search?q=Wallabies,Wallabies,,2021-08-07 12:16:10.089293,Australia
Penrith,http://twitter.com/search?q=Penrith,Penrith,,2021-08-07 12:16:10.089293,Australia
St Kilda,http://twitter.com/search?q=%22St+Kilda%22,%22St+Kilda%22,,2021-08-07 12:16:10.089293,Australia
horne,http://twitter.com/search?q=horne,horne,,2021-08-07 12:16:10.089293,Australia
